# Chunk-averaged data for fix ave_densityy and group all
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount density/mass
10000 100 20999.999999999996
  95 0.945 216.274 0.121551
  96 0.955 210.974 0.118573
  97 0.965 216.752 0.12182
  98 0.975 218.476 0.122789
  99 0.985 209.464 0.117724
  100 0.995 214.882 0.120769
30000 100 21000.000000000004
  1 0.005 206.116 0.115842
  2 0.015 209.47 0.117727
  3 0.025 198.068 0.111319
  4 0.035 207.152 0.116425
  5 0.045 207.85 0.116817
  6 0.055 195.454 0.10985
  7 0.065 203.452 0.114345
  8 0.075 203.396 0.114314
  9 0.085 201.828 0.113432
  10 0.095 202.346 0.113723
  11 0.105 214.038 0.120295
  12 0.115 202.534 0.113829
  13 0.125 199.44 0.11209
  14 0.135 213.05 0.119739
  15 0.145 200.458 0.112662
  16 0.155 202.578 0.113854
  17 0.165 208.842 0.117374
  18 0.175 201.71 0.113366
  19 0.185 200.098 0.11246
  20 0.195 209.722 0.117869
  21 0.205 200.658 0.112775
  22 0.215 202.588 0.113859
  23 0.225 204.07 0.114692
  24 0.235 204.046 0.114679
  25 0.245 210.722 0.118431
  26 0.255 207.088 0.116389
  27 0.265 203.232 0.114221
  28 0.275 214.73 0.120684
  29 0.285 202.586 0.113858
  30 0.295 215.494 0.121113
  31 0.305 215.108 0.120896
  32 0.315 210.146 0.118107
  33 0.325 216.35 0.121594
  34 0.335 215.704 0.121231
  35 0.345 210.042 0.118049
  36 0.355 212.26 0.119295
  37 0.365 209.468 0.117726
  38 0.375 208.084 0.116948
  39 0.385 212.704 0.119545
  40 0.395 204.398 0.114877
  41 0.405 211.488 0.118862
  42 0.415 211.408 0.118817
  43 0.425 215.194 0.120944
  44 0.435 214.99 0.12083
  45 0.445 217.88 0.122454
  46 0.455 219.084 0.123131
  47 0.465 221.424 0.124446
  48 0.475 211.856 0.119068
  49 0.485 217.08 0.122004
  50 0.495 218.614 0.122867
  51 0.505 206.014 0.115785
  52 0.515 215.346 0.12103
  53 0.525 216.104 0.121456
  54 0.535 209.542 0.117768
  55 0.545 216.872 0.121887
  56 0.555 210.792 0.11847
  57 0.565 210.61 0.118368
  58 0.575 219.912 0.123596
  59 0.585 214.322 0.120454
  60 0.595 203.868 0.114579
  61 0.605 216.11 0.121459
  62 0.615 214.03 0.12029
  63 0.625 202.64 0.113889
  64 0.635 207.54 0.116643
  65 0.645 214.678 0.120654
  66 0.655 207.712 0.116739
  67 0.665 203.494 0.114369
  68 0.675 214.668 0.120649
  69 0.685 212.702 0.119544
  70 0.695 205.86 0.115698
  71 0.705 213.68 0.120093
  72 0.715 216.146 0.121479
  73 0.725 203.622 0.114441
  74 0.735 220.814 0.124103
  75 0.745 216.752 0.12182
  76 0.755 204.956 0.11519
  77 0.765 217.462 0.122219
  78 0.775 215.15 0.12092
  79 0.785 209.232 0.117594
  80 0.795 219.954 0.12362
  81 0.805 209.888 0.117962
  82 0.815 208.804 0.117353
  83 0.825 220.822 0.124107
  84 0.835 209.184 0.117567
  85 0.845 212.6 0.119486
  86 0.855 216.86 0.121881
