# Chunk-averaged data for fix ave_densityz and group all
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount density/mass
10000 100 21000
  93 0.925 225.408 0.126685
  94 0.935 213.79 0.120155
  95 0.945 209.7 0.117857
  96 0.955 219.16 0.123173
  97 0.965 200.422 0.112642
  98 0.975 199.082 0.111889
  99 0.985 208.918 0.117417
  100 0.995 198.872 0.111771
30000 100 20999.999999999996
  1 0.005 197.088 0.110768
  2 0.015 203.14 0.11417
  3 0.025 202.372 0.113738
  4 0.035 192.93 0.108431
  5 0.045 198.894 0.111783
  6 0.055 195.026 0.109609
  7 0.065 189.742 0.10664
  8 0.075 189.086 0.106271
  9 0.085 191.052 0.107376
  10 0.095 183.364 0.103055
  11 0.105 182.808 0.102743
  12 0.115 185.078 0.104018
  13 0.125 187.516 0.105389
  14 0.135 180.1 0.101221
  15 0.145 183.94 0.103379
  16 0.155 184.518 0.103704
  17 0.165 180.91 0.101676
  18 0.175 175.576 0.0986781
  19 0.185 183.088 0.1029
  20 0.195 177.926 0.0999988
  21 0.205 179.366 0.100808
  22 0.215 175.578 0.0986792
  23 0.225 183.642 0.103211
  24 0.235 184.268 0.103563
  25 0.245 175.654 0.0987219
  26 0.255 186.064 0.104573
  27 0.265 185.632 0.10433
  28 0.275 177.012 0.0994851
  29 0.285 190.418 0.10702
  30 0.295 180.118 0.101231
  31 0.305 188.402 0.105887
  32 0.315 191.14 0.107425
  33 0.325 184.944 0.103943
  34 0.335 194.58 0.109359
  35 0.345 191.672 0.107724
  36 0.355 195.49 0.10987
  37 0.365 193.048 0.108498
  38 0.375 201.714 0.113368
  39 0.385 203.754 0.114515
  40 0.395 194.854 0.109513
  41 0.405 203.812 0.114547
  42 0.415 210.032 0.118043
  43 0.425 201.926 0.113487
  44 0.435 212.398 0.119373
  45 0.445 209.372 0.117672
  46 0.455 205.55 0.115524
  47 0.465 211.414 0.11882
  48 0.475 211.072 0.118628
  49 0.485 208.86 0.117385
  50 0.495 213.366 0.119917
  51 0.505 216.596 0.121732
  52 0.515 209.772 0.117897
  53 0.525 226.664 0.127391
  54 0.535 221.536 0.124509
  55 0.545 223.712 0.125732
  56 0.555 226.908 0.127528
  57 0.565 225.012 0.126462
  58 0.575 236.38 0.132851
  59 0.585 228.584 0.12847
  60 0.595 234.084 0.131561
  61 0.605 242.768 0.136442
  62 0.615 228.562 0.128458
  63 0.625 239.596 0.134659
  64 0.635 247.852 0.139299
  65 0.645 232.942 0.130919
  66 0.655 239.428 0.134564
  67 0.665 257.514 0.144729
  68 0.675 233.54 0.131255
  69 0.685 236.404 0.132865
  70 0.695 253.026 0.142207
  71 0.705 236.758 0.133064
  72 0.715 237.926 0.13372
  73 0.725 245.974 0.138244
  74 0.735 237.294 0.133365
  75 0.745 241.062 0.135483
  76 0.755 240.336 0.135075
  77 0.765 239.31 0.134498
  78 0.775 233.928 0.131473
  79 0.785 235.67 0.132452
  80 0.795 234.752 0.131936
  81 0.805 238.39 0.133981
  82 0.815 232.568 0.130709
  83 0.825 236.942 0.133167
  84 0.835 233.156 0.131039
  85 0.845 226.398 0.127241
  86 0.855 228.32 0.128322
  87 0.865 230.412 0.129497
  88 0.875 220.132 0.12372
  89 0.885 218.184 0.122625
  90 0.895 213.902 0.120218
  91 0.905 220.546 0.123952
  92 0.915 214.334 0.120461
  93 0.925 208.728 0.11731
  94 0.935 207.916 0.116854
  95 0.945 205.118 0.115281
  96 0.955 203.598 0.114427
  97 0.965 197.72 0.111124
  98 0.975 204.68 0.115035
  99 0.985 202.406 0.113757
  100 0.995 203.354 0.11429
40000 100 20999.999999999996
  1 0.005 193.986 0.109025
  2 0.015 198.11 0.111343
  3 0.025 200.17 0.112501
  4 0.035 201.568 0.113286
  5 0.045 194.822 0.109495
  6 0.055 196.928 0.110678
  7 0.065 199.812 0.112299
  8 0.075 198.21 0.111399
  9 0.085 195.366 0.109801
  10 0.095 197.194 0.110828
  11 0.105 197.322 0.1109
  12 0.115 195.296 0.109761
  13 0.125 195.826 0.110059
  14 0.135 192.406 0.108137
  15 0.145 194.324 0.109215
  16 0.155 197.902 0.111226
  17 0.165 189.942 0.106752
  18 0.175 194.958 0.109571
  19 0.185 193.284 0.10863
  20 0.195 193.396 0.108693
  21 0.205 189.796 0.10667
  22 0.215 190.984 0.107338
  23 0.225 192.382 0.108123
  24 0.235 195.484 0.109867
  25 0.245 189.58 0.106549
  26 0.255 187.634 0.105455
  27 0.265 188.432 0.105903
  28 0.275 190.072 0.106825
  29 0.285 187.474 0.105365
  30 0.295 191.77 0.10778
  31 0.305 188.664 0.106034
  32 0.315 189.722 0.106628
  33 0.325 197.944 0.111249
  34 0.335 191.202 0.10746
  35 0.345 191.208 0.107464
  36 0.355 193.462 0.10873
  37 0.365 200.198 0.112516
  38 0.375 190.722 0.107191
  39 0.385 192.918 0.108425
  40 0.395 206.668 0.116153
  41 0.405 199.156 0.111931
  42 0.415 199.13 0.111916
  43 0.425 208.326 0.117084
  44 0.435 213.334 0.119899
  45 0.445 205.518 0.115506
  46 0.455 206.532 0.116076
  47 0.465 217.442 0.122208
  48 0.475 211.278 0.118743
  49 0.485 209.786 0.117905
  50 0.495 220.368 0.123852
  51 0.505 213.8 0.120161
  52 0.515 211.484 0.118859
  53 0.525 222.798 0.125218
  54 0.535 217.932 0.122483
  55 0.545 211.508 0.118873
  56 0.555 221.202 0.124321
  57 0.565 222.388 0.124988
  58 0.575 216.64 0.121757
  59 0.585 229.064 0.12874
  60 0.595 225.382 0.12667
  61 0.605 225.818 0.126915
  62 0.615 228.972 0.128688
  63 0.625 226.812 0.127474
  64 0.635 226.266 0.127167
  65 0.645 234.718 0.131917
  66 0.655 227.162 0.127671
  67 0.665 232.772 0.130824
  68 0.675 227.138 0.127657
  69 0.685 234.956 0.132051
  70 0.695 227.892 0.128081
  71 0.705 231.472 0.130093
  72 0.715 236.572 0.132959
  73 0.725 232.292 0.130554
  74 0.735 225.934 0.126981
  75 0.745 232.87 0.130879
  76 0.755 230.13 0.129339
  77 0.765 231.224 0.129954
  78 0.775 229.91 0.129215
  79 0.785 230.378 0.129478
  80 0.795 229.026 0.128718
  81 0.805 232.868 0.130878
  82 0.815 228.744 0.12856
  83 0.825 228.832 0.128609
  84 0.835 226.118 0.127084
  85 0.845 229.078 0.128748
  86 0.855 221.296 0.124374
  87 0.865 221.91 0.124719
  88 0.875 221.426 0.124447
  89 0.885 213.346 0.119906
  90 0.895 217.948 0.122492
  91 0.905 219.67 0.12346
  92 0.915 210.604 0.118365
  93 0.925 217.3 0.122128
  94 0.935 211.972 0.119134
  95 0.945 208.98 0.117452
  96 0.955 212.834 0.119618
  97 0.965 210.808 0.118479
  98 0.975 204.652 0.11502
  99 0.985 203.088 0.114141
  100 0.995 206.006 0.11578
50000 100 21000.000000000015
  1 0.005 209.578 0.117788
  2 0.015 196.648 0.110521
  3 0.025 197.002 0.11072
  4 0.035 204.202 0.114767
  5 0.045 202.536 0.11383
  6 0.055 191.034 0.107366
  7 0.065 212.312 0.119325
  8 0.075 201.132 0.113041
  9 0.085 189.524 0.106517
  10 0.095 203.732 0.114502
  11 0.105 203.672 0.114469
  12 0.115 192.594 0.108243
  13 0.125 196.8 0.110606
  14 0.135 201.53 0.113265
  15 0.145 194.37 0.109241
  16 0.155 190.428 0.107025
  17 0.165 204.6 0.11499
  18 0.175 200.622 0.112755
  19 0.185 198.37 0.111489
  20 0.195 200.264 0.112553
  21 0.205 202.256 0.113673
  22 0.215 201.522 0.11326
  23 0.225 205.456 0.115471
  24 0.235 198.466 0.111543
  25 0.245 194.966 0.109576
  26 0.255 199.308 0.112016
