# Chunk-averaged data for fix ave_stressz and group all
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount c_stress[3]
10000 100 21000
  84 0.835 238.942 0.0544403
  85 0.845 239.568 -0.00551081
  86 0.855 236.432 0.088509
  87 0.865 235.752 0.046311
  88 0.875 229.676 0.021672
  89 0.885 229.458 0.020905
  90 0.895 229.194 0.0845866
  91 0.905 224.384 0.0337016
  92 0.915 217.462 0.0491235
  93 0.925 225.408 0.0553402
  94 0.935 213.79 0.113639
  95 0.945 209.7 0.00906802
  96 0.955 219.16 0.048108
  97 0.965 200.422 0.0788722
  98 0.975 199.082 0.0147586
  99 0.985 208.918 0.0576933
  100 0.995 198.872 0.12366
30000 100 20999.999999999996
  1 0.005 197.088 0.0147464
  2 0.015 203.14 -0.0159494
  3 0.025 202.372 0.0871973
  4 0.035 192.93 0.0314917
  5 0.045 198.894 -0.0518945
  6 0.055 195.026 0.0582801
  7 0.065 189.742 0.0717343
  8 0.075 189.086 0.0022191
  9 0.085 191.052 0.0608061
  10 0.095 183.364 0.066738
  11 0.105 182.808 -0.0272313
  12 0.115 185.078 0.0852986
  13 0.125 187.516 0.142928
  14 0.135 180.1 -0.0474746
  15 0.145 183.94 0.0204687
  16 0.155 184.518 0.0593184
  17 0.165 180.91 0.128759
  18 0.175 175.576 -0.0842148
  19 0.185 183.088 0.111035
  20 0.195 177.926 0.0547723
  21 0.205 179.366 0.00361103
  22 0.215 175.578 0.0057899
  23 0.225 183.642 0.0737074
  24 0.235 184.268 0.0137182
  25 0.245 175.654 -0.0566711
  26 0.255 186.064 0.0722389
  27 0.265 185.632 0.0912021
  28 0.275 177.012 -0.0704405
  29 0.285 190.418 0.0081044
  30 0.295 180.118 0.107285
  31 0.305 188.402 0.0641552
  32 0.315 191.14 -0.0829552
  33 0.325 184.944 0.0798257
  34 0.335 194.58 0.0571217
  35 0.345 191.672 0.00947301
  36 0.355 195.49 0.0440454
  37 0.365 193.048 -0.00713691
  38 0.375 201.714 0.00190513
  39 0.385 203.754 0.0636724
  40 0.395 194.854 -0.00521509
  41 0.405 203.812 -0.0101643
  42 0.415 210.032 0.105881
  43 0.425 201.926 0.0302134
  44 0.435 212.398 0.000936983
  45 0.445 209.372 0.0553307
  46 0.455 205.55 0.0205844
  47 0.465 211.414 -0.0279663
  48 0.475 211.072 0.0957477
  49 0.485 208.86 0.0571296
  50 0.495 213.366 -0.016348
  51 0.505 216.596 0.0747742
  52 0.515 209.772 0.0131412
  53 0.525 226.664 0.0419263
  54 0.535 221.536 0.100063
  55 0.545 223.712 -0.000254158
  56 0.555 226.908 0.00030542
  57 0.565 225.012 0.0817698
  58 0.575 236.38 0.0490023
  59 0.585 228.584 -0.0774763
  60 0.595 234.084 0.15699
  61 0.605 242.768 -0.0357744
  62 0.615 228.562 -0.0480345
  63 0.625 239.596 0.0921346
  64 0.635 247.852 0.00912728
  65 0.645 232.942 -0.0180978
  66 0.655 239.428 0.0144927
  67 0.665 257.514 0.0319774
  68 0.675 233.54 0.0114664
  69 0.685 236.404 0.00891302
  70 0.695 253.026 0.0301703
  71 0.705 236.758 0.0506812
  72 0.715 237.926 -0.0228541
  73 0.725 245.974 0.00293025
  74 0.735 237.294 0.0828077
  75 0.745 241.062 -0.011329
  76 0.755 240.336 -0.020916
  77 0.765 239.31 0.0811432
  78 0.775 233.928 0.0113828
  79 0.785 235.67 0.050068
  80 0.795 234.752 0.0609817
  81 0.805 238.39 -0.0773202
  82 0.815 232.568 0.0917532
  83 0.825 236.942 0.0926993
  84 0.835 233.156 -0.0589472
  85 0.845 226.398 0.106596
  86 0.855 228.32 -0.0140209
  87 0.865 230.412 0.0880346
  88 0.875 220.132 0.0939489
  89 0.885 218.184 -0.094124
  90 0.895 213.902 0.0273906
  91 0.905 220.546 0.116101
  92 0.915 214.334 0.0612865
  93 0.925 208.728 -0.0482284
  94 0.935 207.916 0.0806435
  95 0.945 205.118 -0.0354782
  96 0.955 203.598 0.0755421
  97 0.965 197.72 -0.0224448
  98 0.975 204.68 0.047852
  99 0.985 202.406 0.0575082
  100 0.995 203.354 0.0206633
40000 100 20999.999999999996
  1 0.005 193.986 0.00350014
  2 0.015 198.11 -0.0286156
  3 0.025 200.17 0.0808509
  4 0.035 201.568 0.0911865
  5 0.045 194.822 -0.0293852
  6 0.055 196.928 -0.0635123
  7 0.065 199.812 0.0745153
  8 0.075 198.21 0.0620351
  9 0.085 195.366 -0.0186427
  10 0.095 197.194 -0.0250107
  11 0.105 197.322 0.0851588
  12 0.115 195.296 -0.00296451
  13 0.125 195.826 0.080556
  14 0.135 192.406 -0.0136183
  15 0.145 194.324 0.0394181
  16 0.155 197.902 0.0662669
  17 0.165 189.942 -0.0540636
  18 0.175 194.958 -0.0287236
  19 0.185 193.284 0.0725558
  20 0.195 193.396 0.014711
