# Chunk-averaged data for fix ave_stressy and group all
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount c_stress[2]
10000 100 20999.999999999996
  86 0.855 218.24 0.0802046
  87 0.865 216.932 0.183589
  88 0.875 220.23 0.00991654
  89 0.885 213.71 0.0666142
  90 0.895 214.314 0.0588225
  91 0.905 217.806 0.166738
  92 0.915 218.31 0.0332858
  93 0.925 210.376 0.0578564
  94 0.935 222.94 0.106964
  95 0.945 216.274 0.0664918
  96 0.955 210.974 0.0693205
  97 0.965 216.752 0.0752154
  98 0.975 218.476 0.036935
  99 0.985 209.464 0.0939918
  100 0.995 214.882 0.108108
30000 100 21000.000000000004
  1 0.005 206.116 0.12411
  2 0.015 209.47 -0.0878163
  3 0.025 198.068 0.152826
  4 0.035 207.152 0.069039
  5 0.045 207.85 -0.04578
  6 0.055 195.454 0.10142
  7 0.065 203.452 0.0416369
  8 0.075 203.396 -0.0232246
  9 0.085 201.828 0.0887758
  10 0.095 202.346 0.00845392
  11 0.105 214.038 0.0263783
  12 0.115 202.534 0.016844
  13 0.125 199.44 0.0882408
  14 0.135 213.05 -0.0237385
  15 0.145 200.458 0.0542605
  16 0.155 202.578 0.055398
  17 0.165 208.842 0.0461827
  18 0.175 201.71 0.00898913
  19 0.185 200.098 0.0695372
  20 0.195 209.722 0.0420765
  21 0.205 200.658 0.0356671
  22 0.215 202.588 -0.0292374
  23 0.225 204.07 0.0314261
  24 0.235 204.046 0.0816699
  25 0.245 210.722 0.0197181
  26 0.255 207.088 0.0693887
  27 0.265 203.232 -0.00807616
  28 0.275 214.73 0.0483038
  29 0.285 202.586 0.00514121
  30 0.295 215.494 0.0418199
  31 0.305 215.108 0.028511
  32 0.315 210.146 0.0135408
  33 0.325 216.35 -0.0539216
  34 0.335 215.704 0.0482629
  35 0.345 210.042 -0.00266944
  36 0.355 212.26 -0.0106157
  37 0.365 209.468 0.0944652
  38 0.375 208.084 0.0371159
  39 0.385 212.704 -0.0745148
  40 0.395 204.398 0.132581
  41 0.405 211.488 -0.0329357
  42 0.415 211.408 -0.0355501
  43 0.425 215.194 0.0529059
  44 0.435 214.99 0.012033
  45 0.445 217.88 0.00567585
  46 0.455 219.084 -0.00557248
  47 0.465 221.424 -0.00326233
  48 0.475 211.856 -0.00548028
  49 0.485 217.08 0.051317
  50 0.495 218.614 0.0466202
  51 0.505 206.014 -0.0315362
  52 0.515 215.346 -0.0096318
  53 0.525 216.104 0.102209
  54 0.535 209.542 -0.00690956
  55 0.545 216.872 -0.0191778
  56 0.555 210.792 -0.0125908
  57 0.565 210.61 0.0402254
  58 0.575 219.912 0.0467317
  59 0.585 214.322 0.017066
  60 0.595 203.868 -0.0527924
  61 0.605 216.11 0.0142852
  62 0.615 214.03 0.0614151
  63 0.625 202.64 -0.0349969
  64 0.635 207.54 -0.0221847
  65 0.645 214.678 0.0261508
  66 0.655 207.712 0.0137474
  67 0.665 203.494 -0.0142195
  68 0.675 214.668 0.0739477
  69 0.685 212.702 -0.064237
  70 0.695 205.86 0.102442
  71 0.705 213.68 -0.056333
  72 0.715 216.146 -0.106707
  73 0.725 203.622 0.0982236
  74 0.735 220.814 -0.00394168
  75 0.745 216.752 -0.000304023
  76 0.755 204.956 -0.0198625
  77 0.765 217.462 0.037654
  78 0.775 215.15 -0.0427116
  79 0.785 209.232 0.0517953
  80 0.795 219.954 0.0317121
  81 0.805 209.888 -0.0595698
  82 0.815 208.804 0.057005
  83 0.825 220.822 0.00109395
  84 0.835 209.184 -0.0104954
  85 0.845 212.6 0.0205302
  86 0.855 216.86 0.0503413
  87 0.865 212.93 0.0318412
  88 0.875 212.452 -0.0841713
  89 0.885 210.522 0.132505
  90 0.895 213.932 -0.015143
  91 0.905 214.642 0.0542872
  92 0.915 206.568 0.0222425
  93 0.925 213.672 -0.0162265
  94 0.935 212.72 -0.0276078
  95 0.945 202.06 0.137121
  96 0.955 208.112 -0.102638
  97 0.965 205.716 0.0795106
  98 0.975 205.314 0.0339293
  99 0.985 206.356 -0.0643093
  100 0.995 210.164 0.108423
40000 100 21000.000000000004
  1 0.005 208.07 0.0192206
  2 0.015 210.572 0.00967483
  3 0.025 215.708 0.0652833
  4 0.035 209.528 0.0386553
  5 0.045 208.952 -0.030197
  6 0.055 215.722 0.0728534
  7 0.065 211.536 0.0205178
  8 0.075 208.516 0.0115197
  9 0.085 215.29 0.0177798
  10 0.095 203.96 -0.0154273
  11 0.105 215.962 0.063426
  12 0.115 207.872 0.017951
  13 0.125 203.004 0.0337268
  14 0.135 211.648 -0.0170781
  15 0.145 209.424 0.0748291
  16 0.155 203.724 -0.0179327
  17 0.165 213.586 0.0615511
  18 0.175 205.816 -0.0562496
  19 0.185 211.014 0.00341296
  20 0.195 207.226 0.0962594
  21 0.205 206.866 -0.0269832
  22 0.215 209.108 -0.0258367
  23 0.225 208.846 0.0278568
  24 0.235 212.076 0.0116206
  25 0.245 208.186 -0.00177795
  26 0.255 204.862 -0.00593694
  27 0.265 216.874 0.0164647
  28 0.275 209.376 0.0468118
  29 0.285 212.05 -0.0108048
  30 0.295 214.22 0.0315809
  31 0.305 210.062 -0.0290013
  32 0.315 209.594 0.134998
  33 0.325 212.084 0.0208543
  34 0.335 208.454 -0.0687578
  35 0.345 206.534 0.154784
  36 0.355 214.264 0.0410249
  37 0.365 210.496 0.047982
  38 0.375 204.942 0.0169531
  39 0.385 206.096 0.045913
  40 0.395 217.148 0.0878916
  41 0.405 203.628 0.031823
  42 0.415 209.146 0.0405154
  43 0.425 212.09 0.110604
  44 0.435 201.186 -0.0099266
  45 0.445 212 0.106881
  46 0.455 216.624 0.120128
  47 0.465 202.784 0.00555084
  48 0.475 215.826 0.023454
  49 0.485 212.77 0.0369499
  50 0.495 207.67 0.178737
  51 0.505 214.458 0.0130349
  52 0.515 203.208 0.075064
  53 0.525 207.876 0.0520451
  54 0.535 214.758 0.0464817
  55 0.545 206.022 0.0454208
  56 0.555 204.21 0.0498826
  57 0.565 220.366 0.0268391
  58 0.575 203.15 0.0420975
  59 0.585 207.994 0.0689528
  60 0.595 220.716 0.029763
  61 0.605 207.044 0.125777
  62 0.615 205.082 -0.0283984
  63 0.625 214.11 -0.00286072
  64 0.635 208.626 0.078951
  65 0.645 213.562 0.021437
  66 0.655 214.034 0.00893572
  67 0.665 210.972 0.099096
  68 0.675 219.544 0.0316529
  69 0.685 209.08 -0.0639775
  70 0.695 210.678 0.0399747
  71 0.705 218.648 -0.0411434
  72 0.715 211.548 0.0229587
  73 0.725 211.852 0.0864057
  74 0.735 215.572 0.0420575
  75 0.745 208.808 -0.0222099
  76 0.755 208.218 0.0346555
  77 0.765 209.418 0.0367153
  78 0.775 210.784 0.049058
  79 0.785 206.45 0.0578676
  80 0.795 203.782 -0.027945
  81 0.805 205.308 0.0513554
  82 0.815 209.628 0.0547296
  83 0.825 201.884 -0.0165391
  84 0.835 206.6 0.155345
  85 0.845 204.46 -0.0404101
  86 0.855 209.12 0.0483764
  87 0.865 200.222 0.0659642
  88 0.875 208.454 -0.0191164
  89 0.885 211.002 0.0477659
  90 0.895 206.544 0.0270561
  91 0.905 213.228 -0.0273151
  92 0.915 211.208 0.0255353
  93 0.925 211.554 0.0907981
  94 0.935 217.396 -0.0350471
  95 0.945 207.306 -0.0243474
  96 0.955 210.426 0.0825953
  97 0.965 218.64 -0.00753231
  98 0.975 208.788 0.0359368
  99 0.985 207.306 0.0135165
  100 0.995 217.364 0.0586536
50000 100 21000.00000000001
  1 0.005 202.82 0.0728216
  2 0.015 218.142 -0.0345708
  3 0.025 213.974 0.0354699
  4 0.035 201.28 -0.0500185
  5 0.045 219.502 0.00201534
  6 0.055 207.126 0.0617783
  7 0.065 203.75 0.0566481
  8 0.075 213.096 0.0106571
  9 0.085 209.49 0.0085824
  10 0.095 206.83 -0.0481126
  11 0.105 215.134 0.0422073
  12 0.115 206.72 0.00665355
  13 0.125 204.488 0.0212856
  14 0.135 218.468 0.0857708
  15 0.145 209.836 -0.021137
  16 0.155 204.898 -0.0391072
  17 0.165 215.504 0.0788222
  18 0.175 209.488 0.0017174
  19 0.185 204.516 -0.0172916
  20 0.195 214.536 0.0158519
  21 0.205 214.552 0.0356906
  22 0.215 209.506 0.00794909
  23 0.225 215.736 0.0674535
  24 0.235 210.716 0.0106593
  25 0.245 209.092 -0.0215058
  26 0.255 208.752 0.022441
  27 0.265 205.042 0.0736492
  28 0.275 212.75 0.0511828
  29 0.285 207.066 -0.0213645
  30 0.295 203.786 0.0658833
  31 0.305 212.894 -0.0166378
  32 0.315 203.81 0.0936625
  33 0.325 205.188 0.0165076
  34 0.335 214.8 -0.0144288
  35 0.345 201.44 0.0869481
  36 0.355 207.354 0.0423397
  37 0.365 214.096 0.0702231
  38 0.375 207.8 0.0237542
  39 0.385 208.298 0.0975565
  40 0.395 209.36 0.0901709
  41 0.405 206.108 -0.055224
  42 0.415 210.692 0.0572724
  43 0.425 205.254 0.0535375
  44 0.435 208.186 0.0530608
  45 0.445 208.338 0.0659908
  46 0.455 202.876 0.0125555
  47 0.465 203.686 0.0624692
  48 0.475 206.41 0.079439
  49 0.485 195.878 -0.0297056
  50 0.495 208.342 0.0817585
  51 0.505 202.4 0.0110968
  52 0.515 204.462 0.0199256
  53 0.525 204.576 -0.0115417
  54 0.535 214.4 0.13469
  55 0.545 205.234 -0.0343842
  56 0.555 211.102 -0.0161447
  57 0.565 215.724 0.0588206
  58 0.575 216.098 -0.00609055
  59 0.585 212.108 0.0170652
  60 0.595 218.022 -0.0332654
  61 0.605 215.554 0.0677472
  62 0.615 220.204 0.0563459
  63 0.625 214.868 -0.0829438
  64 0.635 219.01 0.000920058
  65 0.645 219.374 0.0567837
  66 0.655 213.594 0.00425223
  67 0.665 212.27 0.0133512
  68 0.675 220.924 -0.0130507
  69 0.685 220.27 0.0294134
  70 0.695 211.402 0.00896814
  71 0.705 215.696 -0.0660678
  72 0.715 215.568 0.100034
  73 0.725 207.808 0.0252867
  74 0.735 215.488 0.0232073
  75 0.745 212.574 0.0803451
  76 0.755 206.98 -0.0537163
  77 0.765 207.488 0.0340487
  78 0.775 207.89 0.0943287
  79 0.785 206.378 0.00422742
  80 0.795 206.27 0.0281559
  81 0.805 213.34 0.0125451
  82 0.815 200.488 -0.0136331
  83 0.825 203.704 0.102858
  84 0.835 216.272 0.0589065
  85 0.845 205.898 0.0507996
  86 0.855 206.286 -0.00987907
  87 0.865 209.056 -0.00945279
  88 0.875 208.898 0.116027
  89 0.885 205.642 0.0625475
  90 0.895 212.928 -0.051238
  91 0.905 204.282 0.0626965
  92 0.915 211.084 0.0373613
  93 0.925 214.276 0.0345735
  94 0.935 208.226 0.0591952
  95 0.945 213.328 -0.0748258
  96 0.955 212.058 0.14364
  97 0.965 208.836 0.0299544
  98 0.975 201.882 -0.0623716
  99 0.985 220.266 0.000902862
  100 0.995 212.108 0.0740269
60000 100 21000.000000000007
  1 0.005 210.358 0.0258504
  2 0.015 213.158 0.0509464
  3 0.025 201.288 0.0631822
  4 0.035 209.604 -0.0257045
  5 0.045 208.264 0.0965617
  6 0.055 206.55 0.0964898
  7 0.065 204.558 -0.045762
  8 0.075 208.97 0.0894366
  9 0.085 216.4 0.0890483
  10 0.095 204.268 -0.0201253
  11 0.105 206.792 -0.0116321
  12 0.115 215.284 0.00780434
  13 0.125 211.538 0.198082
  14 0.135 211.894 -0.0587747
  15 0.145 208.446 0.0145757
  16 0.155 204.778 0.0006421
  17 0.165 220.3 0.0389251
  18 0.175 209.15 0.0530163
  19 0.185 214.426 0.0391547
  20 0.195 208.414 -0.0359143
  21 0.205 210.678 0.082286
  22 0.215 205.826 0.0196715
  23 0.225 204.628 0.0257585
  24 0.235 209.398 0.00990589
  25 0.245 207.83 0.0952179
  26 0.255 208.384 -0.0328165
  27 0.265 205.848 -0.0654142
  28 0.275 209.602 0.0599647
  29 0.285 207.812 0.0912605
  30 0.295 212.794 -0.0426092
  31 0.305 208.504 0.0904292
  32 0.315 209.66 0.00771746
  33 0.325 210.054 -0.00588023
  34 0.335 209.034 0.0274646
  35 0.345 212.22 -0.000260368
  36 0.355 206.9 0.0801696
  37 0.365 218.1 0.0449976
  38 0.375 206.014 -0.0632915
  39 0.385 210.868 0.0269965
  40 0.395 214.048 0.0952776
  41 0.405 210.758 0.0257553
  42 0.415 203.666 0.00450531
  43 0.425 207.464 -0.0185871
  44 0.435 209.028 -0.0029347
  45 0.445 208.498 0.104376
  46 0.455 205.42 0.00558864
  47 0.465 209.898 0.0430731
  48 0.475 207.824 0.0191037
  49 0.485 202.012 0.0499734
  50 0.495 212.794 0.0563159
  51 0.505 210.646 0.0298577
  52 0.515 205.076 0.0341928
  53 0.525 213.386 0.0767889
  54 0.535 205.234 0.0457541
  55 0.545 205.86 0.000291375
  56 0.555 211.54 0.0572682
  57 0.565 205.422 0.0696568
  58 0.575 208.494 0.0404188
  59 0.585 211.248 0.0061614
  60 0.595 205.83 0.0637595
  61 0.605 209.302 0.0294943
  62 0.615 210.414 0.0190754
  63 0.625 208.938 0.0740959
  64 0.635 210.292 0.111617
  65 0.645 210.402 -0.00945639
  66 0.655 208.746 0.0137774
  67 0.665 214.02 0.168089
  68 0.675 219.052 -0.0227451
  69 0.685 207.128 -0.0900096
  70 0.695 211.234 0.121619
  71 0.705 221.896 0.0136091
  72 0.715 206.102 0.0160846
  73 0.725 205.788 0.111731
  74 0.735 219.31 -0.0166693
  75 0.745 204.454 0.0311635
  76 0.755 201.556 -0.00594724
  77 0.765 218.258 -0.00419648
  78 0.775 210.53 0.136934
  79 0.785 203.048 0.00243875
  80 0.795 216.596 -0.00372599
  81 0.805 209.456 -0.0329789
  82 0.815 207.83 0.0841616
  83 0.825 222.062 -0.0299786
  84 0.835 207.86 0.0417136
  85 0.845 214.722 0.024357
  86 0.855 220.004 -0.0667672
  87 0.865 207.714 0.0737116
  88 0.875 212.38 -0.000443435
  89 0.885 217.92 0.048762
  90 0.895 206.358 0.0013564
  91 0.905 216.486 -0.0104098
  92 0.915 211.71 0.12612
  93 0.925 212.934 -0.0256577
  94 0.935 209.048 -0.0671778
  95 0.945 213.38 0.138431
  96 0.955 216.178 0.106124
  97 0.965 206.902 -0.0767586
  98 0.975 209.332 0.111273
  99 0.985 210.504 -0.0192548
  100 0.995 207.414 0.0651681
70000 100 21000.000000000007
  1 0.005 205.446 0.0981108
  2 0.015 205.164 0.0329318
  3 0.025 203.914 0.0696078
  4 0.035 214.552 0.096793
  5 0.045 210.394 0.112862
  6 0.055 209.58 -0.0377928
  7 0.065 216.318 0.0573972
  8 0.075 209.666 0.138723
  9 0.085 211.172 0.0201102
  10 0.095 212.652 0.0806127
  11 0.105 207.332 0.0332856
  12 0.115 215.83 0.12784
  13 0.125 208.998 0.00216931
  14 0.135 204.376 0.0946419
  15 0.145 213.066 0.0505014
  16 0.155 218.25 0.0391237
  17 0.165 204.508 0.0838095
  18 0.175 212.936 0.0365503
  19 0.185 214.338 0.0643527
  20 0.195 208.458 0.050977
  21 0.205 205.786 0.0848801
  22 0.215 210.46 0.011849
  23 0.225 209.266 0.0914743
  24 0.235 207.464 0.0350919
  25 0.245 207.994 0.0845708
  26 0.255 208.052 0.0997049
  27 0.265 206.604 0.00621164
  28 0.275 212.826 0.0121679
  29 0.285 210.192 0.163217
  30 0.295 209.352 0.0647359
  31 0.305 211.908 -0.00310071
  32 0.315 204.242 0.0547415
  33 0.325 214.854 0.0710111
  34 0.335 210.068 0.000995454
  35 0.345 214.25 0.0265951
  36 0.355 211.136 0.0747668
  37 0.365 210.314 0.0839943
  38 0.375 212.452 -0.0777468
  39 0.385 208.892 0.123811
  40 0.395 209.836 -0.0125425
  41 0.405 212.968 -0.00753338
  42 0.415 205.69 0.0964801
  43 0.425 213.144 0.0369413
  44 0.435 211.752 -0.00533137
  45 0.445 205.686 0.0237993
  46 0.455 207.626 0.0499551
  47 0.465 209.734 0.0386715
  48 0.475 210.544 0.0337585
  49 0.485 201.94 0.0461515
  50 0.495 209.132 0.0293747
  51 0.505 205.866 -0.0232617
  52 0.515 206.88 0.133425
  53 0.525 209.708 -0.0311527
  54 0.535 209.584 0.0509968
  55 0.545 200.01 0.0247577
  56 0.555 210.016 0.0437158
  57 0.565 206.978 0.0182507
  58 0.575 203.516 -0.0126975
  59 0.585 221.722 0.0580823
  60 0.595 205.27 0.0908697
  61 0.605 211.472 0.0461875
  62 0.615 211.598 -0.0519198
  63 0.625 208.508 0.132997
  64 0.635 205.636 -0.00119524
  65 0.645 212.836 0.0509223
  66 0.655 210.358 0.138553
  67 0.665 211.412 0.0317934
  68 0.675 205.852 0.0219971
  69 0.685 207.61 0.0390721
  70 0.695 218.226 0.0785897
  71 0.705 212.706 0.0947729
  72 0.715 216.906 0.0203512
  73 0.725 219.81 0.029533
  74 0.735 215.526 0.0554377
  75 0.745 213.224 -0.0188944
